Time,Temperature °C
09:51:11,24.31
09:51:12,24.31
09:51:13,24.31
09:51:14,24.31
09:51:14,24.31
09:51:15,24.31
09:51:16,24.31
09:51:17,24.31
09:51:17,24.31
09:51:18,24.31
09:51:19,24.31
09:51:20,24.31
09:51:21,24.31
09:51:21,24.25
09:51:22,24.25
09:51:23,24.25
09:51:24,24.25
09:51:25,24.25
09:51:25,24.25
09:51:26,24.25
09:51:27,24.25
09:51:28,24.25
09:51:28,24.25
09:51:29,24.25
09:51:30,24.25
09:51:31,24.25
09:51:32,24.19
09:51:32,24.25
09:51:33,24.19
09:51:34,24.19
09:51:35,24.19
09:51:35,24.19
09:51:36,24.19
09:51:37,24.19
09:51:38,24.19
09:51:39,24.19
09:51:39,24.19
09:51:40,24.19
09:51:41,24.19
09:51:42,24.12
09:51:43,24.12
09:51:43,24.12
09:51:44,24.12
09:51:45,24.12
09:51:46,24.12
09:51:46,24.12
09:51:47,24.12
09:51:48,24.12
09:51:49,24.12
09:51:50,24.12
09:51:50,24.06
09:51:51,24.06
09:51:52,24.06
09:51:53,24.06
09:51:53,24.06
09:51:54,24.06
09:51:55,24.06
09:51:56,24.06
09:51:57,24.06
09:51:57,24.06
09:51:58,24.06
09:51:59,24.06
09:52:00,24.0
09:52:01,24.06
09:52:01,24.0
09:52:02,24.0
09:52:03,24.0
09:52:04,24.0
09:52:04,24.0
09:52:05,24.0
09:52:06,24.0
09:52:07,24.0
09:52:08,24.0
09:52:08,24.0
09:52:09,23.94
09:52:10,23.94
09:52:11,23.94
09:52:11,23.94
09:52:12,23.94
09:52:13,23.94
09:52:14,23.94
09:52:15,23.94
09:52:15,23.94
09:52:16,23.94
09:52:17,23.94
09:52:18,23.94
09:52:19,23.87
09:52:19,23.87
09:52:20,23.87
09:52:21,23.87
09:52:22,23.87
09:52:22,23.87
09:52:23,23.87
09:52:24,23.87
09:52:25,23.87
09:52:26,23.87
09:52:26,23.87
09:52:27,23.87
09:52:28,23.87
09:52:29,23.81
09:52:29,23.81
09:52:30,23.81
09:52:31,23.81
09:52:32,23.81
09:52:33,23.81
09:52:33,23.81
09:52:34,23.81
09:52:35,23.81
09:52:36,23.81
09:52:37,23.81
09:52:37,23.81
09:52:38,23.81
09:52:39,23.81
09:52:40,23.75
09:52:40,23.75
09:52:41,23.75
09:52:42,23.75
09:52:43,23.75
09:52:44,23.75
09:52:44,23.75
09:52:45,23.75
09:52:46,23.75
09:52:47,23.75
09:52:48,23.75
09:52:48,23.75
09:52:49,23.75
09:52:50,23.69
09:52:51,23.69
09:52:51,23.69
09:52:52,23.69
09:52:53,23.69
09:52:54,23.69
09:52:55,23.69
09:52:55,23.69
09:52:56,23.69
09:52:57,23.62
09:52:58,23.56
09:52:58,23.5
09:52:59,23.5
09:53:00,23.44
09:53:01,23.37
09:53:02,23.37
09:53:02,23.31
09:53:03,23.25
09:53:04,23.25
09:53:05,23.19
09:53:06,23.19
09:53:06,23.12
09:53:07,23.12
09:53:08,23.12
09:53:09,23.06
09:53:09,23.06
09:53:10,23.0
09:53:11,23.0
09:53:12,23.0
09:53:13,22.94
09:53:13,22.94
09:53:14,22.94
09:53:15,22.87
09:53:16,22.87
09:53:16,22.81
09:53:17,22.81
09:53:18,22.81
09:53:19,22.81
09:53:20,22.75
09:53:20,22.75
09:53:21,22.75
09:53:22,22.75
09:53:23,22.75
09:53:24,22.69
09:53:24,22.69
09:53:25,22.69
09:53:26,22.69
09:53:27,22.69
09:53:27,22.62
09:53:28,22.62
09:53:29,22.62
09:53:30,22.62
09:53:31,22.62
09:53:31,22.62
09:53:32,22.62
09:53:33,22.56
09:53:34,22.56
09:53:34,22.56
09:53:35,22.56
09:53:36,22.56
09:53:37,22.56
09:53:38,22.56
09:53:38,22.56
09:53:39,22.56
09:53:40,22.56
09:53:41,22.56
09:53:42,22.56
09:53:42,22.5
09:53:43,22.5
09:53:44,22.5
09:53:45,22.5
09:53:45,22.5
09:53:46,22.5
09:53:47,22.5
09:53:48,22.5
09:53:49,22.5
09:53:49,22.5
09:53:50,22.5
09:53:51,22.5
09:53:52,22.5
09:53:52,22.5
09:53:53,22.5
09:53:54,22.5
09:53:55,22.5
09:53:56,22.5
09:53:56,22.5
09:53:57,22.5
09:53:58,22.5
09:53:59,22.5
09:54:00,22.5
09:54:00,22.5
09:54:01,22.5
09:54:02,22.5
09:54:03,22.5
09:54:03,22.5
09:54:04,22.5
09:54:05,22.5
09:54:06,22.5
09:54:07,22.5
09:54:07,22.5
09:54:08,22.5
09:54:09,22.5
09:54:10,22.5
09:54:10,22.5
09:54:11,22.5
09:54:12,22.5
09:54:13,22.56
09:54:14,22.56
09:54:14,22.56
09:54:15,22.62
09:54:16,22.62
09:54:17,22.69
09:54:18,22.75
09:54:18,22.75
09:54:19,22.81
09:54:20,22.87
09:54:21,22.94
09:54:21,22.94
09:54:22,23.0
09:54:23,23.06
09:54:24,23.12
09:54:25,23.19
09:54:25,23.25
09:54:26,23.25
09:54:27,23.31
09:54:28,23.37
09:54:28,23.44
09:54:29,23.5
09:54:30,23.56
09:54:31,23.62
09:54:32,23.69
09:54:32,23.69
09:54:33,23.75
09:54:34,23.81
09:54:35,23.87
09:54:36,23.94
09:54:36,24.0
09:54:37,24.06
09:54:38,24.12
09:54:39,24.19
09:54:39,24.25
09:54:40,24.31
09:54:41,24.37
09:54:42,24.5
09:54:43,24.56
09:54:43,24.62
09:54:44,24.69
09:54:45,24.75
09:54:46,24.81
09:54:46,24.94
09:54:47,25.0
09:54:48,25.06
09:54:49,25.12
09:54:50,25.19
09:54:50,25.25
09:54:51,25.31
09:54:52,25.37
09:54:53,25.44
09:54:54,25.5
09:54:54,25.56
09:54:55,25.62
09:54:56,25.69
09:54:57,25.75
09:54:57,25.81
09:54:58,25.87
09:54:59,25.94
09:55:00,26.0
09:55:01,26.06
09:55:01,26.12
09:55:02,26.19
09:55:03,26.25
09:55:04,26.31
09:55:04,26.37
09:55:05,26.44
09:55:06,26.5
09:55:07,26.5
09:55:08,26.56
09:55:08,26.62
09:55:09,26.69
09:55:10,26.75
09:55:11,26.81
09:55:12,26.87
09:55:12,26.87
09:55:13,26.94
09:55:14,27.0
09:55:15,27.06
09:55:15,27.12
09:55:16,27.19
09:55:17,27.25
09:55:18,27.31
09:55:19,27.44
09:55:19,27.44
09:55:20,27.5
09:55:21,27.56
09:55:22,27.69
09:55:22,27.75
09:55:23,27.81
09:55:24,27.87
09:55:25,27.94
09:55:26,28.0
09:55:26,28.0
09:55:27,28.06
09:55:28,28.12
09:55:29,28.19
09:55:30,28.25
09:55:30,28.31
09:55:31,28.37
09:55:32,28.44
09:55:33,28.5
09:55:33,28.56
09:55:34,28.62
09:55:35,28.69
09:55:36,28.75
09:55:37,28.75
09:55:37,28.81
09:55:38,28.87
09:55:39,28.94
09:55:40,29.0
09:55:40,29.06
09:55:41,29.12
09:55:42,29.19
09:55:43,29.19
09:55:44,29.25
09:55:44,29.31
09:55:45,29.37
09:55:46,29.44
09:55:47,29.5
09:55:48,29.56
09:55:48,29.62
09:55:49,29.62
09:55:50,29.69
09:55:51,29.75
09:55:51,29.81
09:55:52,29.87
09:55:53,29.94
09:55:54,30.0
09:55:55,30.06
09:55:55,30.12
09:55:56,30.12
